1,0,3,0,21,0,0,2,0,0,1,2,1,0,1,3,0,1,2,0,5,2,4,2,2,2,1,1,7,1,0,1,0,0,2,1,1,2,1,0,0,0,0,4,0,0,6,0,1,1,0,0,0,27,0,0,0,0,0,0,3,2,2,2,1,0,0,7,0,32,0,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,1,1,0,1,21,21,0,0,5,0,22,0,0,0,1,0,0,0,0,0,1,10,0,1,1,2,4,0,2,0,1,0,1,0,1,1,0,0,0,3,0,3,0,0,1,0,5,0,0,4,0,29,0,0,1,0,1,2,1,0,0,1,1,7,0,6,1,0
2,0,1,0,4,1,1,2,2,1,1,2,1,6,3,5,1,1,2,1,3,1,1,4,1,2,2,0,3,0,6,3,0,0,6,2,3,2,0,3,0,1,3,4,1,2,2,2,2,0,0,2,5,5,0,2,0,1,0,2,3,2,4,3,2,0,3,3,0,5,5,1,1,1,1,1,2,3,3,3,0,3,0,1,0,0,1,1,2,3,8,1,0,2,3,2,0,1,1,2,2,0,0,1,1,5,0,0,1,2,0,0,1,0,2,2,0,1,3,2,1,2,2,0,2,5,0,4,3,3,1,0,5,1,0,0,1,1,0,1,5,2,3,1,0,1,2,2,0,0,0,1,25,4,5,1,0
1,0,0,0,3,1,0,0,1,0,2,0,2,3,0,0,0,0,1,2,0,1,1,2,0,1,1,1,7,1,0,0,0,0,4,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,1,0,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,2,3,0,2,1,2,3,2,2,1,2,4,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,3,0,2,0,0,0,1,1,2,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,15,1,0,2,1
0,0,2,0,4,1,0,2,1,0,2,1,3,2,0,3,0,0,2,0,0,2,1,2,0,3,0,1,0,0,1,0,2,3,2,0,0,0,3,1,0,0,1,0,2,0,1,0,1,0,0,0,1,0,0,1,1,2,0,0,3,0,2,0,0,0,1,0,1,5,1,0,3,2,0,1,2,0,1,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,4,0,0,1,0,1,0,2,2,0,1,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,1,0,0,0,0,0,2,1,0,3,0,6,3,2,4,0,0,8,3,1,1,1
2,0,1,3,7,4,0,2,2,1,5,1,2,4,2,7,1,1,5,1,1,2,5,0,1,2,4,6,4,1,14,0,2,6,1,1,3,1,3,3,0,0,1,1,1,0,3,1,2,0,2,3,12,0,0,0,0,2,1,4,16,2,1,4,0,0,0,3,0,2,6,0,13,0,0,10,11,13,0,0,1,5,0,0,1,2,0,0,2,4,7,3,1,2,0,0,0,4,0,1,6,0,0,0,6,4,0,2,1,1,1,1,0,1,4,2,0,2,4,3,1,0,1,0,1,0,0,15,4,1,2,0,1,1,1,2,1,0,2,0,3,1,10,12,0,2,1,6,1,3,0,0,36,7,6,0,0
1,0,2,1,1,0,0,0,0,0,3,2,2,3,0,2,1,0,2,0,0,0,2,2,0,0,1,0,3,1,4,2,0,8,1,1,2,4,1,4,0,0,0,1,3,2,3,1,1,0,0,2,3,1,0,1,0,0,0,0,3,1,1,2,1,0,0,2,1,2,4,0,10,2,1,6,1,0,0,2,0,2,1,0,0,0,1,0,1,3,4,5,1,1,0,0,0,2,0,2,3,0,1,0,0,2,0,0,1,0,0,0,1,1,5,1,0,3,2,4,1,0,2,0,1,0,2,4,1,0,2,0,2,3,0,1,0,0,0,1,2,1,2,2,0,0,0,4,1,4,0,0,8,5,2,2,0
1,0,3,2,13,0,0,2,2,1,2,1,0,2,0,5,0,0,1,0,0,1,7,1,0,1,1,3,7,0,0,4,0,2,5,0,5,1,2,3,0,0,3,1,0,1,1,2,3,0,2,1,1,1,1,1,2,1,0,1,5,1,2,5,0,1,0,14,1,3,3,0,1,3,1,4,5,1,0,0,6,5,0,1,2,0,0,0,0,0,4,5,1,1,0,1,1,0,1,1,8,0,0,0,0,2,1,1,1,0,4,0,0,1,4,0,0,3,0,9,1,2,0,0,0,2,0,4,1,1,5,0,0,2,1,2,0,0,1,0,0,0,1,1,1,6,1,4,0,1,0,2,14,0,2,2,0
4,0,0,0,3,2,0,0,1,0,0,0,2,2,1,0,0,0,1,1,0,3,1,2,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,3,0,1,0,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,4,1,0,1,5,0,2,1,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,2,1,2,0,0,0,0,7,0,0,0,0,0,0,1,1,1,0,0,3,1,0,2,1
1,0,1,2,2,0,1,3,1,0,3,0,1,1,1,4,0,0,1,2,0,0,0,2,0,3,1,2,3,0,1,0,1,1,3,0,0,2,3,3,0,0,2,2,0,3,4,0,2,0,0,2,1,0,0,0,0,1,1,3,1,0,0,1,1,1,0,0,1,2,0,1,4,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4,1,0,1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,1,0,0,0,0,1,0,1,4,0,1,3,1,0,0,1,0,1,0,1,0,1,1,1,0,3,0,1,0,0,1,0,1,0,0,12,1,0,1,0
1,0,1,1,4,0,0,1,0,0,1,0,1,0,0,3,0,0,0,0,0,4,6,2,0,4,3,1,2,1,0,0,0,0,3,2,3,2,2,3,1,0,0,3,0,0,2,1,1,1,1,3,2,1,0,0,2,1,0,3,0,2,2,1,0,1,0,1,2,0,8,0,0,3,0,6,3,0,1,0,3,2,1,1,1,0,1,0,1,1,5,5,2,0,0,0,1,0,0,1,2,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,1,3,3,0,1,0,0,1,0,0,2,1,1,3,0,3,1,1,6,1,1,2,0,1,0,3,1,0,1,0,1,0,0,0,0,12,4,4,1,0
